label,text
Psoriasis,"i have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. it is red, itchy, and covered in dry, scaly patches."
Psoriasis,"my skin has been peeling, especially on my knees, elbows, and scalp. this peeling is often accompanied by a burning or stinging sensation."
Psoriasis,"i have been experiencing joint pain in my fingers, wrists, and knees. the pain is often achy and throbbing, and it gets worse when i move my joints."
Psoriasis,"there is a silver like dusting on my skin, especially on my lower back and scalp. this dusting is made up of small scales that flake off easily when i scratch them."
Psoriasis,"my nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. even there are minor rashes on my arms."
Psoriasis,the skin on my palms and soles is thickened and has deep cracks. these cracks are painful and bleed easily.
Psoriasis,"the skin around my mouth, nose, and eyes is red and inflamed. it is often itchy and uncomfortable. there is a noticeable inflammation in my nails."
Psoriasis,my skin is very sensitive and reacts easily to changes in temperature or humidity. i often have to be careful about what products i use on my skin.
Psoriasis,"i have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. also, i face severe joint pain and skin rashes."
Psoriasis,"the skin on my genitals is red and inflamed. it is often itchy, burning, and uncomfortable. there are rashes on different parts of the body too."
Psoriasis,"i have experienced fatigue and a general feeling of malaise. i often feel tired and have a lack of energy, even after a good night's sleep."
Psoriasis,"the rash on my skin has spread to other parts of my body, including my chest and abdomen. it is itchy and uncomfortable, and it is often worse at night. i am also facing skin peeling."
Psoriasis,the rash on my skin is worse in the winter months when the air is dry. i find that i have to moisturize more frequently and use humidifiers to keep my skin hydrated.
Psoriasis,"i have experienced difficulty sleeping due to the itching and discomfort caused by the rash. there are small dents in my nails, which is really concerning."
Psoriasis,"my skin is prone to infections due to dry, flaky patches. i am experiencing a strong pain in my joints. the skin on my knees and elbows is starting to peel off."
Psoriasis,"i am starting to have rashes on my skin. the rash often bleeds when i scratch or rub it. moreover, i have noticed small dents in my nails."
Psoriasis,"i have noticed that my skin has become more sensitive than it used to be. there is a silver like dusting on my skin, especially on my back and elbows."
Psoriasis,"i am worried about the constant peeling of the skin on my palm, elbow and knee. i have developed rashes on my arms, which itch if i touch them. all of these are making my life quite discomforting and miserable."
Psoriasis,"there is strange pain in my joints. also, i have noticed strange peeling of skin in different parts of my body. i am afraid there is something wrong going on with my body."
Psoriasis,"my nails have small dents on them. even my joints have started to pain severely. there is a silver like dusting on my skin, particularly in my back."
Psoriasis,"the rashes on my skin are not healing. moreover, i have noticed a sudden peeling of the skin, especially the skin on my elbows and knees. i am really worried about this."
Psoriasis,"for the past few weeks, i've had a skin rash on my arms, legs, and chest. it's red and irritating, with dry, scaly spots. i have a strange pain in my joints too."
Psoriasis,"my skin is peeling, particularly on my knees, elbows, and scalp. this peeling is frequently accompanied by a stinging or burning feeling."
Psoriasis,"i'm having joint discomfort in my fingers, wrists, and knees. the pain is frequently aching and throbbing, and it worsens when i move my joints."
Psoriasis,"my skin has a silvery film, particularly on my back, arms and scalp. this dusting is composed of tiny scales that easily peel off when scratched."
Psoriasis,"i have red and inflammatory skin around my mouth, nose, and eyes. it is frequently irritating and unpleasant. recently, it has got very painful."
Psoriasis,my skin is extremely sensitive and quickly irritated by changes in temperature or humidity. my nails have developed dents on them. i am worried about this sudden change.
Psoriasis,"i've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. in addition, i have significant joint pain and skin rashes. the rash is spreading to different parts of my body."
Psoriasis,"my genital skin is red and irritated. it is frequently irritating, burning, and unpleasant. there are also rashes in various places of the body. also, i have a strange pain in my joints."
Psoriasis,"i've had trouble sleeping because of the itching and pain produced by the rash. my nails have little dents, which is really alarming. there is a noticeable inflammation in my nails."
Psoriasis,"because of dry, flaky areas on my skin, i am prone to infections. my joints are in excruciating agony. the skin on my knees and elbows is beginning to flake."
Psoriasis,"my skin is breaking out in rashes. when i scratch or rub the rash, it frequently bleeds. in addition, i've observed little dents in my nails. there is a noticeable inflammation in my nails."
Psoriasis,"i've observed that my skin is more sensitive now than it used to be. my skin has a silvery film, especially on my back and elbows."
Psoriasis,"my palms and soles have grown and developed severe fissures. these cracks are unpleasant and frequently bleed. also, the skin is starting to peel off."
Psoriasis,"my nails are starting to have small pits on them. i am worried and don't know what is causing it. also, my joints pain and there are rashes on my arms and back."
Psoriasis,"there is a silver like dusting on my skin. moreover, the skin on my arms and back are starting to peel off. this is strange and really concerning me."
Psoriasis,"my skin rash has extended to other areas of my body, including my chest and belly. it is irritating and unpleasant, and it is frequently worst at night. i'm also experiencing skin flaking."
Psoriasis,"my skin rash gets worse in the winter when the air is dry. to keep my skin moisturized, i have to moisturize more regularly and use humidifiers. i am also facing joint pain."
Psoriasis,i've had trouble sleeping because of the itching and pain produced by the rash. my nails have little dents. i am also experiencing skin peeling in different parts of my body.
Psoriasis,"my skin is peeling in places, especially on my knees, elbows, and arms. this peeling is often accompanied by a painful or burning sensation. i am also developing small dents on my nails, which is really concerning."
Psoriasis,"my skin has a silvery layer over it, especially on my back and arms. this dusting is made up of small scales that peel off readily when rubbed. also, there are rashes all over my body."
Psoriasis,"my arms, face and back are all red and irritated. it is frequently irritating and unpleasant. my nails have a strange inflammation and have developed small dents. i have never seen anything like this."
Psoriasis,"i've had trouble sleeping because of the itching and pain produced by the rash. my nails have little dents, which is really alarming. moreover, my joints pain everyday and i have no idea what is causing it."
Psoriasis,my fingers and soles have pretty thick skin that is cracked severely. these fractures hurt and bleed frequently. the fractures are itchy and covered with scales.
Psoriasis,"my skin has changed from being less sensitive to being more sensitive. my skin has a silvery coating, especially on my back, elbows and knees."
Psoriasis,"my nails are slightly dented. even my joints are now experiencing excruciating discomfort. my skin has a silver-like powder, especially on my back and elbows."
Psoriasis,"i've had trouble falling asleep because of the rash's pain and itching. the skin on my fingers are starting to peel off. my nails have a few tiny cracks, which is really worrying."
Psoriasis,"my joints are experiencing an unusual discomfort. additionally, i've experienced weird skin peeling in various places on my body. i'm concerned that something is wrong with my body."
Psoriasis,"i am starting to have rashes on my arms and neck. the rash often bleeds and hurts when i scratch it. i have also developed small dents in my nails, which is very strange."
Psoriasis,"because of dry, flaky areas on my skin, i am prone to infections. my joints are in extreme pain . my knees and elbows' skin are starting to peel off."
Varicose Veins,"i have a rash on my legs that is causing a lot of discomforts. it seems there is a cramp and i can see prominent veins on the calf. also, i have been feeling very tired and fatigued in the past couple of days."
Varicose Veins,"my calves have been cramping up when i walk or stand for long periods of time. there are bruise marks on my calves, which is making me worried. i feel tired very soon."
Varicose Veins,"there is bruising on my legs that i cannot explain. i can see strange blood vessels below the skin. also, i am slightly obese and i am really worried."
Varicose Veins,i am overweight and have noticed that my legs are swollen and the blood vessels are visible. my legs have swollen and i can see a stream of swollen veins on my calves.
Varicose Veins,"the veins on my calves have become very prominent and causing discomfort. i can't stand for long periods of time, as it causes pain in my legs, similar to cramps."
Varicose Veins,the skin around the veins on my legs is red and inflamed. i believe i can see some of the swollen blood vessels. i am really worried about it.
Varicose Veins,standing or walking for long periods of time causes a lot of pain in my legs. i get cramps upon doing physical activities. there are bruise marks on my legs too.
Varicose Veins,the cramps in my calves are making it difficult for me to walk. i feel fatigued after working for some time. i believe obesity is the reason behind this.
Varicose Veins,"the swelling in my legs has gotten worse over the past few weeks. now, a large number of veins are noticeable on my calves, which is making me worried."
Varicose Veins,the veins on my legs are very noticeable and cause me discomfort. it seems like there is a major bruise and i get cramps when i run.
Varicose Veins,the skin on my calves has become inflamed and red. my legs hurt if i try to run or do any physical activities.
Varicose Veins,"recently, the pain in my calves has been constant and becomes worse when i stand or walk for long periods of time. my legs have started to swell and also some blood vessels are quite noticeable."
Varicose Veins,the veins in my legs are causing discomfort and difficulty sleeping at night. i have no idea why it is happening. i get cramps when i sprint.
Varicose Veins,the swelling in my legs is causing me to have difficulty fitting into my shoes. i can't sprint or stand for long periods of time. i can see some swollen blood vessels.
Varicose Veins,i have noticed cramps in my calves are becoming more frequent and intense. it is causing me a lot of discomforts. i am also overweight and my legs have started to swell.
Varicose Veins,the veins on my legs cause a lot of discomforts when i sit for long periods of time.
Varicose Veins,the rash on my legs is spreading and becoming more severe. it has become very difficult for me to run.
Varicose Veins,my legs are causing a lot of discomforts when i exercise. i get frequent cramps and the blood vessels have become quite noticeable.
Varicose Veins,the prominent blood vessels on my calves are causing self-consciousness and embarrassment. i believe the problem is because of my overweight.
Varicose Veins,the skin around the veins on my legs is dry and flaky. it seems there is a major bruise and my legs have started to swell.
Varicose Veins,i have been experiencing a rash on my legs that is causing a lot of irritation and discomfort. it is red and inflamed and appears to be spreading.
Varicose Veins,"recently, my calves have been cramping up frequently, especially when i am walking or standing for long periods of time. also, the veins are very noticeable."
Varicose Veins,i have noticed that there are bruises on my legs that i cannot explain. they are not painful but are concerning to me.
Varicose Veins,"as i am overweight, i have noticed that my legs are swollen and the blood vessels are more visible than usual. the swelling seems to be getting worse over time."
Varicose Veins,the veins on my calves are very prominent and are causing me a lot of discomforts. they are swollen and protrude from my skin.
Varicose Veins,"the skin around the veins on my legs is red, inflamed, and itchy. it is causing a lot of discomforts and i am starting to get regular cramps."
Varicose Veins,standing or walking for long periods of time has been causing a lot of pain in my legs. it feels like a cramp and becomes worse the longer i am on my feet.
Varicose Veins,the cramps in my calves have been making it difficult for me to walk and do my daily activities. they come on suddenly and last for several minutes.
Varicose Veins,the swelling in my legs has gotten worse over the past few weeks and is causing me difficulty fitting into my shoes. it is also causing discomfort when i sit for long periods of time.
Varicose Veins,"the veins on my legs are very noticeable and are causing me a lot of discomforts. they are swollen and protrude from my skin, making them visible through my clothing."
Varicose Veins,"the skin on my calves is itchy and inflamed, causing a lot of discomfort and difficulty sleeping at night. the blood vessels have started to protrude out, which is concerning."
Varicose Veins,the pain in my calves is constant and becomes worse when i stand or walk for long periods of time. i am getting constant cramps and can't run for longer periods of time.
Varicose Veins,"the veins in my legs are causing discomfort and difficulty sleeping at night. they are swollen and protruding from my skin, making them noticeable and painful."
Varicose Veins,the swelling in my legs is causing me to have difficulty fitting into my shoes and is causing discomfort when i sit for long periods of time.
Varicose Veins,"the cramps in my calves are becoming more frequent and intense, making it difficult for me to walk and do my daily activities."
Varicose Veins,"the veins on my legs are causing a lot of discomforts when i sit for long periods of time. they are swollen and protruding from my skin, making them painful and noticeable."
Varicose Veins,"the rash on my legs is spreading and becoming more severe. it is red, inflamed, and itchy, causing a lot of discomfort and difficulty sleeping at night."
Varicose Veins,"my legs have been causing a lot of discomforts when i exercise. they feel heavy and swollen, and the veins are prominent and painful. i feel fatigued all the time."
Varicose Veins,"the prominent veins on my calves are causing self-consciousness and embarrassment. they are swollen and protrude from my skin, making them very noticeable."
Varicose Veins,"the skin around the veins on my legs is dry and flaky, causing discomfort and irritation. i am also starting to get frequent cramps."
Varicose Veins,"i have a rash on my legs that is giving me a lot of pain. there appears to be a cramp, and i can see visible veins on the calf."
Varicose Veins,my veins of legs have become more visible and swollen than normal. they are visible through my skin and it hurts when i move.
Varicose Veins,"walking is tough for me because of cramps in my calves. obesity, i believe, is the cause of this. after a while of working, i'm exhausted."
Varicose Veins,the blood vessels on my legs are quite visible and give me a lot of pain. they're large and protrude from my skin. it is unusual and i am worried about it.
Varicose Veins,"i have noticed that the blood vessels in my legs are getting more noticeable than usual. it is a little concerning to me. moreover, i am experiencing cramps every day."
Varicose Veins,my legs' swelling has become worse over the last couple of days. i can see the blood vessels protruding out of the skin. this is quite unusual.
Varicose Veins,long durations of standing or walking have caused severe discomfort in my legs. it's a burning ache that gets worse the longer i'm on my feet.
Varicose Veins,"my legs' skin around the veins is unusual. there appears to be a large bruise. nowadays, i get frequent cramps when i sprint or run."
Varicose Veins,"i am experiencing too many cramps in the last couple of days. i think something is not right. i believe there is a small bruise on my calves, but i am not sure about it."
Varicose Veins,"the veins in my calves are protruding out quite unusually. i am worried about it. also, i am overweight and i believe this is the reason behind all of this."
Typhoid,"i have constipation and belly pain, and it's been really uncomfortable. the belly pain has been getting worse and is starting to affect my daily life. moreover, i get chills every night, followed by a mild fever."
Typhoid,"i've also had some diarrhea, which has been really unpleasant. it's been coming and going, and it's been accompanied by abdominal cramps and bloating."
Typhoid,"i have been experiencing chills and fever, along with severe abdominal pain. i've been feeling really miserable overall, and i just can't seem to shake these symptoms."
Typhoid,i've been having a lot of trouble keeping hydrated because of the vomiting and diarrhea. there is a mild fever along with constipation and headache.
Typhoid,"i've lost a lot of weight in the past week because i haven't been able to eat much due to nausea and vomiting. this is followed by mild fever, headache and belly pain. i'm really concerned about my health."
Typhoid,"the fatigue has been really uncomfortable, and i've had a lot of difficulties doing my usual activities. i've also been feeling really depressed and irritable. there is mild pain in the abdominal part too."
Typhoid,"i've had a persistent headache for the past week, and it's been getting worse. it's been accompanied by belly aches, constipation and diarrhea."
Typhoid,"i've been experiencing high fever, especially at night. it's been really uncomfortable. there is a mild headache along with constipation and diarrhea."
Typhoid,"i've been having a lot of difficulty breathing, and i feel like i'm constantly nauseous. i also have mild belly pain. it's been terrifying at times."
Typhoid,"diarrhea has been really watery and foul-smelling, and it's been accompanied by abdominal pain. i feel like vomiting most of the time."
Typhoid,"i've been having a lot of trouble sleeping because of the high fever, headache and chills. i wake up every day having a terrible pain in my belly area."
Typhoid,"i've also been experiencing some diarrhea and constipation, which has been really worrying. it feels like a sharp, stabbing pain in my belly area. i feel tired all the time."
Typhoid,"i have had some constipation and belly pain, which has been really uncomfortable. the pain has been getting worse and it's really affecting my daily life."
Typhoid,"i am experiencing a lot of belly pain and constipation, which has been really annoying. sometimes, i feel a strong urge to vomit, and because of all of these, i am feeling very weak."
Typhoid,"the abdominal pain has been coming and going, and it's been really unpleasant. it's been accompanied by constipation and vomiting. i feel really concerned about my health."
Typhoid,"i have been experiencing a lot of bloating and constipation, and it's been really uncomfortable. it feels like there's a lot of pressure and pain in my belly area."
Typhoid,"i am experiencing extreme belly pain and constipation. every night, i have a severe fever along with chills and headaches. the last couple of days has been really uncomfortable."
Typhoid,"i've been feeling exhausted and weak, and i can't seem to get rid of it. because of the vomiting and nausea, i've entirely lost my appetite. my belly pains which are causing me concern."
Typhoid,"i am experiencing constipation and stomach ache, which has been really difficult. the discomfort has gotten worse, and it is seriously interfering with my everyday life."
Typhoid,"because of the vomiting and diarrhea, i've been having a lot of difficulties staying hydrated. i have a high fever, as well as constipation and headache."
Typhoid,the abdominal pain has been frequent and really painful. constipation and vomiting have also occurred. i'm quite worried about my health.
Typhoid,"i'm having severe stomach pain and constipation. every night, i get a headache and chills. the last few days have been really painful."
Typhoid,there is a distinct pain in my abdominal part. i am not sure what it is. i am also going through constant vomiting and feel nauseous.
Typhoid,"the diarrhea has been quite fluid and smelly, and it has been accompanied by severe abdominal pain and headache. most of the time, i feel like vomiting."
Typhoid,"i have had a fever for the last couple of days. now, i am starting to experience a severe pain in my stomach area and suffering from constipation."
Typhoid,"i am experiencing a lot of nausea and vomiting, and it's been quite difficult for me to eat anything. i've entirely lost my appetite, and as a result, i have become quite weak."
Typhoid,"i am having a lot of trouble sleeping because of the high fever and the headache. moreover, i have constant belly pain, because of which i can't go to work."
Typhoid,"i have been feeling really fatigued and weak, and i can't seem to get rid of it. i have a mild fever and a strange pain in my abdominal area. i can't understand what is happening."
Typhoid,"i've been suffering from constipation and stomach discomfort, which has been really uncomfortable. last night, i had a mild fever too."
Typhoid,"i've also been suffering from diarrhea, which has been really uncomfortable. it comes and goes, and it's accompanied by stomach aches and vomiting."
Typhoid,"i've been experiencing chills, fever, and extreme stomach discomfort. i've been generally unhappy, and i can't seem to get rid of these symptoms."
Typhoid,"because of the vomiting and diarrhea, i've been having a lot of difficulties staying hydrated. there is a mild fever, too, as well as stomach pain."
Typhoid,"i have developed diarrhea. it is accompanied by severe pain in my belly area. i don't feel like eating anything, and most of the time, i have a mild headache."
Typhoid,"i've had a lot of bloating and constipation, which has been really painful. there is a lot of pressure and pain in my stomach area. i get a high fever and chills every night."
Typhoid,"i've had a persistent stomach pain for the past week, and it is not healing even with medication. i feel like vomiting and can't eat anything, and because of which i have become extremely weak."
Typhoid,i am having severe stomach discomfort and diarrhoea. i have a high fever along with a headache. the previous several days have been really unpleasant.
Typhoid,"i am having a terrible pain in my abdominal part, and i've been feeling really nauseated. i'm also experiencing a mild fever. i am really worried."
Typhoid,"i am experiencing constipation and stomach ache. the discomfort has gotten worse, and it is seriously interfering with my everyday life. i feel like i have lost my appetite to eat anything."
Typhoid,"most of the time i feel fatigued. i don't want to eat anything. i get a high fever and chills every night. moreover, i have been vomiting since yesterday."
Typhoid,"i have lost my appetite and have noticed a significant weight loss. i have abdominal pain, especially in the area of my stomach and intestines. i am concerned about my health."
Typhoid,the stomach discomfort has been severe and frequent. vomiting and constipation have also happened. i'm concerned about my health.
Typhoid,"i have been experiencing diarrhea and have had loose, watery stools several times a day. i have lost my appetite and feel nauseated all the time. i am starting to get a mild fever too."
Typhoid,"i am feeling quite weak. i'm having a lot of stomach discomfort and constipation, which is really bothering me. i have a strong urge to vomit at times, and as a result, i can't eat anything."
Typhoid,"there is strange pain in my stomach area. i don't know what the reason behind this is. moreover, i am starting to get a mild fever along with chills and headaches."
Typhoid,"i've had a high fever, particularly at night. it's been quite unpleasant. there is a little headache, as well as constipation and diarrhea. i don't feel like eating anything."
Typhoid,"i've been having a lot of trouble staying hydrated because of the vomiting and diarrhea. i have a high fever, constipation, and a headache. i am also starting to get a strange pain in my stomach area and i can't do anything physical."
Typhoid,"i have been getting a headache for the past week that has been growing worse. it has been accompanied by stomach pains, constipation, and diarrhea. i don't know what is happening and i am really worried about it."
Typhoid,"i've lost a lot of weight in the last week because i couldn't eat much due to nausea and vomiting. this is followed by a high fever, headache, and stomach pain."
Typhoid,"i am having some diarrhea and constipation, which has been quite concerning. in my stomach, there is a severe, painful ache. i'm constantly exhausted and don't feel like eating anything."
Typhoid,"i've been having diarrhoea and loose, watery stools many times a day. i've lost my appetite and am always sick. i'm also developing a mild fever. also, my abdominal part pains a lot. i don't know what the reason behind all of these is."
Chicken pox,"i've been experiencing intense itching all over my skin, and it's driving me crazy. i also have a rash that's red and inflamed."
Chicken pox,"i'm feeling fatigued and have no energy. i can barely keep my eyes open during the day, and i've been feeling lethargic and unable to motivate myself."
